"date","close","volume","open","high","low"
"2015/01/28","104.7400","4917293.0000","105.3100","107.4300","104.6000"
"2015/01/27","105.1600","4605380.0000","104.7800","105.8137","104.4000"
"2015/01/26","106.3600","4191684.0000","105.3600","106.5000","105.0600"
"2015/01/23","105.3700","4075836.0000","106.2100","106.4800","105.3100"
"2015/01/22","106.0700","5801770.0000","104.3800","106.3100","103.5400"
"2015/01/21","103.5300","5899195.0000","103.0500","104.0600","102.5000"
"2015/01/20","103.2500","5335516.0000","104.8400","104.9500","102.3500"
"2015/01/16","104.1200","6403231.0000","100.8600","104.3100","100.2400"
"2015/01/15","101.0100","6894309.0000","103.3200","103.6500","100.8200"
"2015/01/14","102.6400","5384438.0000","102.4200","103.4100","101.8800"
"2015/01/13","103.7300","5394401.0000","105.4100","106.0400","103.1500"
"2015/01/12","104.4200","4992830.0000","105.1700","105.2900","104.0600"
"2015/01/09","104.8900","5717459.0000","106.8800","106.8800","104.8200"
"2015/01/08","106.7200","6467399.0000","105.3700","106.9900","105.0200"
"2015/01/07","104.4100","5089901.0000","102.2900","104.4700","101.9950"
"2015/01/06","100.9500","4912939.0000","102.0700","102.0700","100.3400"
"2015/01/05","101.2600","5878149.0000","102.7800","102.7800","100.7900"
"2015/01/02","103.4300","4324195.0000","105.1600","105.6548","102.6700"
"2014/12/31","104.9700","5821181.0000","104.7500","106.0200","104.5600"
"2014/12/30","104.2700","2924470.0000","104.4400","104.7400","103.8500"
"2014/12/29","104.5300","3488956.0000","103.5800","104.8000","103.2610"
"2014/12/26","103.7500","2594775.0000","103.9800","104.3202","103.4800"
"2014/12/24","103.5600","1819047.0000","104.0500","104.3792","103.5600"
"2014/12/23","103.7600","4067319.0000","103.6600","104.2000","103.3200"
"2014/12/22","103.5000","5383382.0000","102.2500","103.5700","102.2300"
"2014/12/19","101.9300","12489180.0000","100.9200","102.0000","100.8100"
"2014/12/18","100.6700","6585262.0000","100.3400","100.6900","99.3000"
"2014/12/17","98.9400","6091737.0000","97.5900","99.1400","97.0900"
"2014/12/16","97.0600","7831414.0000","99.3800","100.2320","96.9900"
"2014/12/15","100.0500","5476127.0000","100.0100","101.2400","99.2900"
"2014/12/12","99.7800","5985138.0000","99.6900","101.2500","99.3900"
"2014/12/11","100.2700","6863672.0000","99.2800","101.4000","99.1500"
"2014/12/10","98.9400","5356939.0000","99.3600","100.2300","98.8200"
"2014/12/09","99.6400","5280581.0000","99.6900","99.9800","98.5856"
"2014/12/08","100.4300","6624329.0000","99.7100","100.9500","99.6600"
"2014/12/05","99.6400","4648988.0000","98.7700","99.6800","98.6600"
"2014/12/04","98.9500","5223599.0000","98.1500","99.1100","97.7800"
"2014/12/03","98.5900","4358974.0000","98.1000","98.7399","98.0400"
"2014/12/02","98.1600","4677554.0000","98.6200","99.0000","97.9900"
"2014/12/01","98.8800","4389479.0000","99.4900","99.6100","98.3100"
"2014/11/28","99.4000","3305799.0000","98.0600","99.8000","98.0000"
"2014/11/26","97.7000","4337943.0000","97.0600","97.7100","97.0100"
"2014/11/25","97.0100","7991894.0000","98.6400","98.8700","96.4100"
"2014/11/24","98.4000","4995047.0000","98.6800","98.9000","98.2200"
"2014/11/21","98.2800","6804741.0000","98.9800","99.1000","97.8200"
"2014/11/20","97.5700","4958379.0000","96.0800","97.9700","96.0200"
"2014/11/19","96.7000","6830660.0000","96.5500","97.3100","96.0000"
"2014/11/18","95.9800","10372680.0000","97.1500","97.7100","93.5000"
"2014/11/17","98.0300","8572357.0000","98.1700","98.9450","97.8000"
"2014/11/14","98.2400","4082079.0000","98.9000","99.0000","98.0200"
"2014/11/13","99.0000","3182748.0000","98.9000","99.3600","98.3400"
"2014/11/12","98.4900","4629148.0000","98.3000","98.7000","97.6100"
"2014/11/11","98.1400","3818401.0000","98.4600","98.7500","97.8800"
"2014/11/10","98.1600","3662160.0000","97.6400","98.1700","97.0000"
"2014/11/07","97.6500","3429460.0000","97.1700","97.7500","96.6925"
"2014/11/06","97.2900","4015328.0000","96.3500","97.5100","96.0100"
"2014/11/05","95.7800","5002514.0000","96.5900","96.8500","95.1500"
"2014/11/04","95.9600","5347584.0000","96.0600","96.1800","95.1900"
"2014/11/03","96.0900","7613883.0000","96.8100","96.8300","95.9750"
"2014/10/31","97.5200","6335892.0000","98.7800","99.2570","97.3300"
"2014/10/30","97.5200","4106690.0000","96.1200","97.8000","96.0300"
"2014/10/29","96.4200","4275440.0000","96.6200","97.2537","95.8006"
"2014/10/28","96.5900","5257781.0000","95.9100","96.6000","95.5000"
"2014/10/27","95.4700","4465104.0000","94.9600","95.6800","94.7100"
"2014/10/24","94.9900","4825237.0000","94.6000","95.1890","94.1300"
"2014/10/23","94.8000","5830512.0000","94.5000","95.5200","94.4400"
"2014/10/22","93.3400","5908873.0000","94.3000","94.9900","93.2400"
"2014/10/21","94.2000","6604719.0000","92.5300","94.3700","92.1200"
"2014/10/20","91.8500","5609429.0000","89.8700","92.0700","89.7700"
"2014/10/17","90.2400","7007260.0000","89.3000","91.1200","89.0500"
"2014/10/16","88.8800","7147588.0000","86.3500","89.7200","86.3500"
"2014/10/15","87.8500","12987450.0000","88.0900","89.1700","86.6200"
"2014/10/14","90.1000","9711348.0000","90.3700","90.5300","88.5200"
"2014/10/13","90.6000","7372091.0000","92.8800","92.9400","90.4313"
"2014/10/10","92.5500","6349811.0000","93.2300","93.8600","92.5400"
"2014/10/09","93.0700","6674674.0000","93.9100","94.7900","93.0200"
"2014/10/08","94.0900","6618942.0000","92.5700","94.1600","92.2400"
"2014/10/07","92.4700","5030302.0000","93.0400","93.5600","92.4400"
"2014/10/06","93.2600","4951721.0000","93.7200","94.2500","93.0600"
"2014/10/03","93.5400","6200083.0000","92.5200","93.6800","92.3350"
"2014/10/02","92.2400","5991202.0000","91.3100","92.4600","91.0700"
"2014/10/01","91.0200","5970668.0000","92.1400","92.3400","90.9200"
"2014/09/30","91.7400","6773028.0000","93.0300","93.2100","91.4000"
"2014/09/29","92.8800","3894623.0000","92.3700","93.1700","91.9500"
"2014/09/26","92.8400","4571390.0000","92.2900","93.0000","91.8000"
"2014/09/25","91.9000","4972066.0000","92.8000","93.0000","91.5500"
"2014/09/24","93.0200","6381357.0000","91.6800","93.1100","91.3501"
"2014/09/23","91.4900","6329968.0000","91.7900","92.2200","91.4500"
"2014/09/22","91.8900","5208741.0000","91.9800","92.4200","91.6800"
"2014/09/19","92.3400","12498810.0000","92.8500","93.7500","92.2000"
"2014/09/18","92.0900","6023071.0000","91.8300","92.4400","91.2000"
"2014/09/17","91.2200","7068459.0000","90.6300","91.5400","89.9400"
"2014/09/16","90.2700","5045137.0000","89.2700","90.7400","88.5300"
"2014/09/15","89.3800","3934961.0000","89.1800","89.5400","88.6000"
"2014/09/12","88.8400","4593705.0000","89.3800","89.5000","88.4600"
"2014/09/11","89.2200","4537833.0000","89.0700","89.4200","88.6200"
"2014/09/10","89.2500","6245282.0000","88.6600","89.4000","88.3300"
"2014/09/09","88.9300","8101277.0000","90.2100","90.3300","88.7750"
"2014/09/08","90.8200","4883709.0000","91.3800","91.7800","90.5700"
"2014/09/05","91.6100","7746361.0000","89.6600","91.6400","89.2809"
"2014/09/04","89.9300","8452200.0000","89.0000","90.7500","89.0000"
"2014/09/03","89.0000","15410010.0000","91.1100","91.3100","88.9800"
"2014/09/02","91.1500","20733660.0000","93.0400","93.3100","89.8500"
"2014/08/29","93.5000","7671323.0000","92.7400","93.5200","92.6100"
"2014/08/28","92.5100","7575652.0000","91.4000","92.7300","91.2700"
"2014/08/27","91.8700","4318054.0000","91.6800","91.9600","91.3110"
"2014/08/26","91.6300","5396390.0000","90.9800","91.8300","90.9000"
"2014/08/25","91.2000","7317039.0000","91.2500","91.8200","90.9500"
"2014/08/22","91.0300","6939238.0000","90.7400","91.3300","90.6500"
"2014/08/21","91.1500","8315128.0000","90.6800","91.8080","90.6700"
"2014/08/20","90.7500","13394130.0000","88.1700","91.0700","88.0800"
"2014/08/19","88.2300","18230060.0000","86.9000","88.9900","86.5700"
"2014/08/18","83.5900","9470539.0000","84.2100","84.6200","83.2930"
"2014/08/15","83.6900","5383543.0000","84.0350","84.0900","82.8450"
"2014/08/14","83.8600","4922998.0000","83.0900","83.9650","82.7400"
"2014/08/13","83.1200","4498611.0000","82.9800","83.3850","82.7400"
"2014/08/12","82.9200","3657060.0000","82.7500","83.0900","82.6800"
"2014/08/11","82.8800","3951965.0000","82.6100","83.0700","82.5000"
"2014/08/08","82.4300","7226493.0000","81.0700","82.4600","80.8800"
"2014/08/07","80.4700","4045922.0000","80.7500","81.0700","80.2900"
"2014/08/06","80.5200","4228246.0000","79.9400","81.0200","79.8500"
"2014/08/05","80.0300","5895423.0000","79.7800","80.8600","79.7800"
"2014/08/04","80.0300","7022543.0000","79.7000","80.2500","79.6600"
"2014/08/01","79.7500","8700584.0000","80.5600","81.0799","79.7400"
"2014/07/31","80.8500","5748862.0000","81.0900","81.5800","80.8500"
"2014/07/30","81.7600","5807328.0000","81.5000","81.8500","81.0700"
